radius,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10
54,21220546.14574899,1542547.5020242913,13234344.894736843,5249409.578947368,3961434.5870445347,9122799.186234819,13150179.218623482,13270481.097165992,16381019.769230768,1364775.967611336
55,21619628.149797574,1572299.6963562756,13476304.234817814,5346875.724696358,4037325.5020242915,9288620.400809716,13394784.526315788,13517129.287449393,16682752.441295546,1389630.1336032387
56,22152323.36842105,1612179.3724696354,13798547.230769232,5476593.336032388,4138616.619433198,9509683.659919027,13720311.89068826,13845707.39271255,17084369.032388665,1422636.8137651822
57,22594444.453441292,1645251.2510121458,14064858.165991902,5583907.153846153,4223124.587044535,9692201.09311741,13989684.433198381,14117679.720647775,17416831.874493927,1449843.5546558707
58,23034006.502024293,1677988.9878542512,14328547.582995953,5690408.708502024,4307369.044534413,9872395.8340081,14256973.344129553,14387565.700404858,17746779.145748988,1476830.2510121458
59,23477002.33198381,1711044.5668016193,14593187.809716599,5797554.0971659925,4392531.7125506075,10053136.611336032,14525275.546558702,14658630.684210526,18078033.101214577,1503819.6639676115
60,23919460.275303643,1743831.2024291498,14856749.546558706,5904441.408906883,4477153.777327936,10233445.449392715,14793007.263157895,14928916.004048582,18408219.433198377,1530730.295546559
61,24355979.73279352,1775993.020242915,15114777.570850201,6009188.040485829,4561042.360323886,10409068.153846154,15055759.453441294,15194843.898785427,18732543.344129555,1557094.8906882592
62,24742869.639676113,1804473.8461538465,15342061.842105264,6101470.914979756,4635531.510121457,10562645.655870445,15287498.947368423,15429702.048582995,19019041.327935223,1580226.7327935225
63,25144809.506072875,1833910.914979757,15577979.465587044,6197027.291497976,4712509.064777328,10722756.578947367,15528195.06882591,15673546.708502024,19315848.805668015,1604306.6680161946
64,25569191.198380567,1865010.5425101214,15825094.910931174,6296886.761133604,4793868.493927126,10889675.299595142,15780895.842105266,15929806.226720648,19627700.809716597,1629609.072874494
65,25901205.80161943,1889250.7570850204,16016797.165991902,6374426.651821862,4857822.672064778,11018314.421052631,15977436.360323887,16129546.898785423,19870779.388663966,1649290.8340080974
66,26318304.29149798,1919877.6963562754,16257020.599190284,6471862.914979758,4937799.35222672,11179865.141700406,16224098.133603238,16379819.032388663,20174867.35222672,1674234.647773279
67,26639762.190283403,1943685.9716599192,16441923.206477733,6547253.975708502,4999686.198380566,11304358.732793523,16414705.599190284,16572947.502024293,20409217.497975707,1693405.6882591094
68,27016760.959514167,1971207.8380566803,16655271.32388664,6634339.995951418,5072257.429149797,11446499.352226721,16635940.004048582,16797580.372469638,20681388.137651823,1715733.4170040486
69,27324785.275303643,1993777.3441295547,16828517.004048582,6705216.068825911,5131354.327935223,11561818.987854254,16816352.072874494,16980977.983805668,20903106.097165987,1733912.898785425
70,27674906.012145746,2019579.6032388664,17024427.27125506,6786181.591093117,5198636.340080972,11692481.975708503,17021243.41700405,17189300.39271255,21154185.060728744,1754792.6801619432
71,27954919.47368421,2040171.4251012148,17178884.951417003,6850328.64777328,5252050.113360324,11795039.02834008,17183984.008097164,17354692.384615384,21353170.51821862,1771157.4736842108
72,28220393.69635627,2059315.2995951416,17322682.696356274,6909854.76923077,5302008.372469636,11890024.91902834,17336200.493927125,17509663.502024293,21539499.340080976,1786813.2348178136
73,28519925.923076924,2081292.5870445343,17485415.137651823,6977761.599190284,5358546.234817814,11997811.425101215,17509098.449392714,17685085.178137653,21750500.315789476,1804313.5668016197
74,28795413.530364376,2101354.6720647775,17633228.016194332,7040007.036437247,5410441.429149796,12095435.133603238,17666881.246963564,17845432.44534413,21943204.995951418,1820599.5789473685
75,29039203.858299594,2118738.190283401,17761185.27125506,7094124.408906883,5455596.740890688,12179530.17813765,17804028.75708502,17985397.06882591,22110710.502024293,1835049.1700404857
76,29276824.789473686,2135752.2510121455,17885540.315789476,7147263.805668017,5500146.2510121465,12261288.94736842,17937845.71659919,18122139.80566802,22274046.028340083,1849026.0728744941
77,29515214.518218625,2152902.141700405,18009482.437246963,7200612.380566802,5544940.255060729,12342469.080971658,18072173.396761134,18259393.263157897,22437645.064777326,1863060.024291498
